original_listed_time_readable,work_type,count
2023-06-08 07:40:00,FULL_TIME,1
2023-06-11 13:26:40,VOLUNTEER,1
2023-07-01 11:13:20,FULL_TIME,1
2023-07-10 09:06:40,FULL_TIME,1
2023-07-13 23:13:20,FULL_TIME,1
2023-07-27 15:00:00,FULL_TIME,1
2023-07-27 17:46:40,FULL_TIME,11
2023-07-28 04:53:20,FULL_TIME,28
2023-07-28 04:53:20,PART_TIME,2
2023-07-28 16:00:00,FULL_TIME,1
2023-07-28 16:00:00,PART_TIME,1
2023-07-28 18:46:40,CONTRACT,1
2023-07-28 18:46:40,FULL_TIME,47
2023-07-28 18:46:40,PART_TIME,3
2023-07-28 21:33:20,FULL_TIME,187
2023-07-28 21:33:20,PART_TIME,16
2023-07-28 21:33:20,TEMPORARY,16
2023-07-29 00:20:00,FULL_TIME,14
2023-07-29 00:20:00,PART_TIME,2
2023-07-29 17:00:00,FULL_TIME,1
2023-07-29 19:46:40,CONTRACT,1
2023-07-29 19:46:40,FULL_TIME,28
2023-07-29 19:46:40,PART_TIME,5
2023-07-29 19:46:40,TEMPORARY,1
2023-07-29 22:33:20,CONTRACT,1
2023-07-29 22:33:20,FULL_TIME,90
2023-07-29 22:33:20,PART_TIME,9
2023-07-30 01:20:00,CONTRACT,1
2023-07-30 01:20:00,FULL_TIME,9
2023-07-30 01:20:00,PART_TIME,1
2023-07-30 01:20:00,TEMPORARY,1
2023-07-30 04:06:40,CONTRACT,2
2023-07-30 04:06:40,FULL_TIME,100
2023-07-30 04:06:40,INTERNSHIP,1
2023-07-30 04:06:40,PART_TIME,5
2023-07-30 04:06:40,TEMPORARY,1
2023-07-30 06:53:20,FULL_TIME,6
2023-07-30 09:40:00,FULL_TIME,2
2023-07-30 23:33:20,FULL_TIME,3
2023-07-31 13:26:40,FULL_TIME,1
2023-07-31 19:00:00,FULL_TIME,1
2023-07-31 21:46:40,FULL_TIME,5
2023-07-31 21:46:40,PART_TIME,1
2023-08-01 00:33:20,FULL_TIME,12
2023-08-01 03:20:00,FULL_TIME,4
2023-08-01 06:06:40,FULL_TIME,1
2023-08-01 14:26:40,FULL_TIME,1
2023-08-01 20:00:00,FULL_TIME,1
2023-08-01 22:46:40,FULL_TIME,15
2023-08-01 22:46:40,OTHER,1
2023-08-01 22:46:40,PART_TIME,1
2023-08-02 04:20:00,FULL_TIME,3
2023-08-02 07:06:40,FULL_TIME,2
2023-08-02 09:53:20,CONTRACT,1
2023-08-02 09:53:20,FULL_TIME,4
2023-08-02 12:40:00,FULL_TIME,2
2023-08-02 12:40:00,PART_TIME,2
2023-08-02 15:26:40,FULL_TIME,2
2023-08-02 21:00:00,FULL_TIME,2
2023-08-02 21:00:00,PART_TIME,2
2023-08-02 23:46:40,FULL_TIME,7
2023-08-03 02:33:20,FULL_TIME,1
2023-08-03 05:20:00,FULL_TIME,1
2023-08-03 10:53:20,FULL_TIME,1
2023-08-03 16:26:40,FULL_TIME,2
2023-08-03 22:00:00,CONTRACT,1
2023-08-03 22:00:00,FULL_TIME,2
2023-08-04 00:46:40,FULL_TIME,2
2023-08-04 03:33:20,CONTRACT,1
2023-08-04 14:40:00,FULL_TIME,1
2023-08-04 17:26:40,FULL_TIME,1
2023-08-04 20:13:20,FULL_TIME,6
2023-08-04 20:13:20,PART_TIME,1
2023-08-04 23:00:00,FULL_TIME,6
2023-08-04 23:00:00,PART_TIME,6
2023-08-05 04:33:20,FULL_TIME,1
2023-08-05 10:06:40,FULL_TIME,1
2023-08-05 15:40:00,FULL_TIME,1
2023-08-06 00:00:00,PART_TIME,1
2023-08-07 01:00:00,FULL_TIME,4
2023-08-07 17:40:00,FULL_TIME,1
2023-08-07 20:26:40,CONTRACT,1
2023-08-07 20:26:40,FULL_TIME,6
2023-08-07 23:13:20,FULL_TIME,1
2023-08-08 04:46:40,FULL_TIME,3
2023-08-08 10:20:00,FULL_TIME,1
2023-08-08 13:06:40,PART_TIME,1
2023-08-08 21:26:40,FULL_TIME,4
2023-08-08 21:26:40,PART_TIME,1
2023-08-09 00:13:20,FULL_TIME,3
2023-08-09 03:00:00,FULL_TIME,1
2023-08-09 05:46:40,PART_TIME,1
2023-08-09 14:06:40,FULL_TIME,1
2023-08-09 16:53:20,FULL_TIME,7
2023-08-09 19:40:00,FULL_TIME,9
2023-08-09 22:26:40,FULL_TIME,2
2023-08-10 01:13:20,FULL_TIME,11
2023-08-10 06:46:40,FULL_TIME,1
2023-08-10 12:20:00,FULL_TIME,5
2023-08-10 12:20:00,INTERNSHIP,1
2023-08-10 15:06:40,FULL_TIME,18
2023-08-10 15:06:40,OTHER,1
2023-08-10 15:06:40,PART_TIME,1
2023-08-10 17:53:20,FULL_TIME,55
2023-08-10 17:53:20,OTHER,1
2023-08-10 17:53:20,TEMPORARY,1
2023-08-10 20:40:00,CONTRACT,1
2023-08-10 20:40:00,FULL_TIME,45
2023-08-10 23:26:40,FULL_TIME,24
2023-08-10 23:26:40,PART_TIME,1
2023-08-11 02:13:20,FULL_TIME,8
2023-08-11 16:06:40,FULL_TIME,1
2023-08-11 18:53:20,FULL_TIME,3
2023-08-11 21:40:00,FULL_TIME,10
2023-08-11 21:40:00,PART_TIME,1
2023-08-12 00:26:40,FULL_TIME,2
2023-08-12 03:13:20,FULL_TIME,1
2023-08-13 23:40:00,CONTRACT,1
2023-08-13 23:40:00,FULL_TIME,7
2023-08-14 02:26:40,FULL_TIME,3
2023-08-14 10:46:40,FULL_TIME,1
2023-08-14 16:20:00,FULL_TIME,1
2023-08-14 19:06:40,FULL_TIME,3
2023-08-14 21:53:20,FULL_TIME,1
2023-08-15 00:40:00,FULL_TIME,19
2023-08-15 00:40:00,INTERNSHIP,1
2023-08-15 03:26:40,FULL_TIME,2
2023-08-15 11:46:40,FULL_TIME,1
2023-08-15 14:33:20,FULL_TIME,1
2023-08-15 14:33:20,PART_TIME,1
2023-08-15 17:20:00,FULL_TIME,5
2023-08-15 20:06:40,FULL_TIME,1
2023-08-15 22:53:20,CONTRACT,1
2023-08-15 22:53:20,FULL_TIME,27
2023-08-15 22:53:20,PART_TIME,2
2023-08-15 22:53:20,TEMPORARY,1
2023-08-16 21:06:40,FULL_TIME,2
2023-08-16 23:53:20,FULL_TIME,28
2023-08-16 23:53:20,PART_TIME,1
2023-08-17 05:26:40,CONTRACT,1
2023-08-17 05:26:40,FULL_TIME,2
2023-08-17 13:46:40,FULL_TIME,18
2023-08-17 19:20:00,FULL_TIME,1
2023-08-17 22:06:40,FULL_TIME,1
2023-08-18 00:53:20,FULL_TIME,12
2023-08-18 00:53:20,PART_TIME,1
2023-08-18 03:40:00,FULL_TIME,2
2023-08-18 17:33:20,FULL_TIME,5
2023-08-18 20:20:00,FULL_TIME,1
2023-08-18 23:06:40,FULL_TIME,3
2023-08-18 23:06:40,PART_TIME,2
2023-08-19 04:40:00,FULL_TIME,2
2023-08-20 00:06:40,FULL_TIME,1
2023-08-20 16:46:40,FULL_TIME,1
2023-08-20 16:46:40,PART_TIME,1
2023-08-21 01:06:40,CONTRACT,1
2023-08-21 01:06:40,FULL_TIME,123
2023-08-21 01:06:40,PART_TIME,31
2023-08-21 09:26:40,FULL_TIME,1
2023-08-21 15:00:00,FULL_TIME,8
2023-08-21 15:00:00,OTHER,1
2023-08-21 17:46:40,CONTRACT,7
2023-08-21 17:46:40,FULL_TIME,61
2023-08-21 17:46:40,PART_TIME,3
2023-08-21 17:46:40,TEMPORARY,2
2023-08-21 20:33:20,CONTRACT,1
2023-08-21 20:33:20,FULL_TIME,7
2023-08-21 23:20:00,CONTRACT,25
2023-08-21 23:20:00,FULL_TIME,1188
2023-08-21 23:20:00,INTERNSHIP,4
2023-08-21 23:20:00,PART_TIME,138
2023-08-21 23:20:00,TEMPORARY,10
2023-08-22 02:06:40,CONTRACT,1
2023-08-22 02:06:40,FULL_TIME,5
2023-08-22 04:53:20,CONTRACT,10
2023-08-22 04:53:20,FULL_TIME,179
2023-08-22 04:53:20,INTERNSHIP,1
2023-08-22 04:53:20,OTHER,1
2023-08-22 04:53:20,PART_TIME,5
2023-08-22 07:40:00,FULL_TIME,1
2023-08-22 10:26:40,FULL_TIME,1
2023-08-22 10:26:40,PART_TIME,1
2023-08-22 13:13:20,FULL_TIME,2
2023-08-22 13:13:20,PART_TIME,1
2023-08-22 16:00:00,CONTRACT,2
2023-08-22 16:00:00,FULL_TIME,56
2023-08-22 16:00:00,OTHER,1
2023-08-22 16:00:00,PART_TIME,10
2023-08-22 18:46:40,CONTRACT,668
2023-08-22 18:46:40,FULL_TIME,2567
2023-08-22 18:46:40,INTERNSHIP,31
2023-08-22 18:46:40,OTHER,5
2023-08-22 18:46:40,PART_TIME,108
2023-08-22 18:46:40,TEMPORARY,24
2023-08-22 18:46:40,VOLUNTEER,4
